,title,content,complete_tags,words_in_tags
378,north america america,family planning travel united states south america los angeles santiago chile want car anyone information good bad anything everything help make idea grateful thanks andrea tom baltazar,usa road-trips south-america family central-america,central usa family america trips road
379,bill german railway,june wife traveled europe vacation trip traveled german rail stuttgart paris spoke worker paris station assured need print tickets printed purchasing tickets online tickets train conductor seem happy voucher took information tell needed anything else today received bill mail deutsche bahn tickets cost says dispute apply writing yesterday possible anything point resolve bill want pay extra usd tickets puchased extra info citizens living fluent german,trains germany disputes,disputes germany trains
380,need transit visa republic ireland,travelling boston rome indian passport schengen visa flight boston dublin hour layover dublin rome want find need transit visa,visas transit ireland,transit visas ireland
381,hours departure mean,advised confirm flight hours departure mean hours departure point time period think means hours departure impossible possibilities hours hours hours departure' confused,air-travel bookings,bookings travel air
382,flight routes india grand cayman,need routes india grand cayman book air ticket india georgetown cayman islands transit visa required uk/usa countries take connecting flight airways different airways transit visa required usa/uk,visas routes cayman-islands,routes cayman visas islands
383,fly work id,girlfriend work permit expire months told get additional id work permit citizen lives pays dollars years obtain government issued work permit allows employed understand don't know use fly know passport keeps saying doesn't stranded la lives missouri trying buy plane ticket come home passport bring asked said work permit mention passport able get plane fly visa stated kept calling work permit visa work permit expire next year,visas air-travel usa paperwork,travel visas paperwork usa air
384,famous museum conspiracies,huge fan popular conspiracy theories faked moon landing nazis living antarctica museum something similar conspiracies,where-on-earth museums geek-travel,museums earth geek travel
385,certificate entitlement abode uk endorsed sa passport need schengen visa travel europe,valid certificate entitlement abode uk attached sa passport need schengen visa travel europe,visas schengen south-african-citizens,schengen visas citizens south african
386,fill questions multi entry schengen visa form,going separate short trips consecutive june countries schengen trying fill form multi entry schengen visa form seems compiled single entry visa quiet sure fill answers following questions duration intended stay transit indicate number days enter total days something intended date arrival schengen area write june june june intended date departure schengen area june 20th june see link full pdf form http //se.vfsglobal.co.uk/pdf/visa_form-pdf_format.pdf,visas schengen paperwork,schengen visas paperwork
387,5-day training nyc,tourist visa planning return months weeks week vacation seen course coursehorse.com application development runs days need separate student 5-day course require enroll sent email course site get response hope get answer,visas new-york-city study,new study visas york city
388,plane ticket fees,going buy ticket cebu pacific first page select seat seat luggage seat luggage meals selected seat luggage checked fare information said said fees taxes included bottom page saw total clicked next add passenger information price looked information price show charging fees taxes different taxes fees involved plane ticket,airlines fees-and-charges,charges airlines fees
389,new irish passport dual citizen use avoid longer non eu passport control lines,got irish passport today u.s. passport gone airports europe italy gotten connecting flight paris time gotten people line waiting passport control missed next flight eu line people went like know instance trip get european airport go schengen country line standing non-eu line passport control,schengen customs-and-immigration eu-citizens,eu citizens schengen immigration customs
390,spent months using esta visa long wait re-entering,flew seattle february went canada april flew england april love go new york week june attend convention friends someone told wary returning visit beforehand job student bring proof sufficient re-enter country,usa esta us-visa-waiver-program repeat-visits,repeat esta usa visits program visa waiver
391,happens caught declaring something customs,get nothing declare line get selected random bag check ... customs officer finds something supposed declare something small plant product something supposed pay duty forgot realize supposed declare talking drugs anything land hot water happens next,customs-and-immigration legal regulations,regulations immigration legal customs
392,kind backpack need,going week hike southern spain intending packing light possible taking lightweight mat sleeping bag bivvy tent stove mess tin minimal cloths water camera notepad thinking lightweight pack sound reasonable,luggage,luggage
393,safe travel greece riots government spending cuts,travelling athens seen reports recent worried cancel trip update fine taxis strike syntagma sqaure fine,safety greece athens event-based-effects,based athens safety effects greece event
394,travel combining money payment miles united airlines,possible get round-trip ticket using combination dollars miles united airlines economical way example suppose want use miles leg pay return leg advantageous,loyalty-programs united-airlines,airlines united loyalty programs
395,common open carry firearms usa,winter planning go usa first time concerns presence weapons public came paris sight armed soldiers patrolling public spaces made uncomfortable come country live years seen gun real life wondering open-carry states see people carrying handguns belts,usa cultural-awareness firearms,cultural awareness usa firearms
396,cheap way fly weekend visit friends/family/girlfriend european city hopping,multiple frequent occasions want fly visit weekend ein bud interfering much job reason flexible comes day time flight flexible week flying best approach get flights fixed location fixed time random weekends current experience best book months advance learn enjoy early monday mornings convenient location cheap avoids needing pay extra extra commute extra time work,air-travel budget europe hungary weekends,europe travel budget air hungary weekends
397,things allowed indian customs minor iphone emergency purposes,carry laptop ipad iphone 6-plus india years old son carry iphone india like case emergency getting lost kidnapped trip india pick pocketed india years,minors,minors
398,restrictions carrying fresh produce state borders,planning traveling state plane case fresh produce know importing fresh produce subject restrictions quick googling seems imply okay mention exceptions wa hi travelling wa concerns confirm restrictions,usa legal washington-state,state washington legal usa
399,long term cancellation host,college student looking week housing nyc coming winter found private bedroom airbnb understand cancellation policy guests nervous host cancel agreement go leaving place stay job airbnb policy missing way alleviate concern,legal bookings accommodation cancellations airbnb,bookings airbnb accommodation legal cancellations
400,restrictions eu citizen travelling eu working way,citizen country eu want fund travelling eu working countries need work gain employment eu country expect temporary work go country country restrictions,europe work eu eu-citizens,europe eu work citizens
401,reach salar de uyuni bolivia puno titicaca lake peru,best connections bus safe cross border going troubles traveling bus night,buses peru bolivia salar-de-uyuni puno,buses puno salar peru bolivia uyuni
402,possible top tmn pt moche payg phone online,anyone let know possible top tmn moche payg number use pt bank account money someone help,cellphones spain portugal,cellphones portugal spain
403,hotels etc accommodation rules washing clothes room sink,hotels kinds accommodation including hostels believe campgrounds rule hand washing laundry sink handbasin room sure come multiple countries tips saving money travelling budget wash clothes hand combined tips travelling minimal luggage include wearing clothes washing night hotel room believe rolf potts advocated no-baggage round-the-world challenge know reason rule unhygienic cause problems drains stain sinks people gotten sick preparing food sinks used clothes washing pretty sure get guests pay laundry service sure seen places offer laundry service instance think seen campgrounds know places offer special sink hand-washing hostel work signs right include link anybody knows talking photo sign rule contribute please add know answer,regulations accommodation clothing hygiene rationale,regulations hygiene clothing accommodation rationale
404,legality carrying spent ammunition,visiting grandfather went gun shooting shot barret .50 caliber rifle automatics able keep casings keepsake legal fly home carryon put top luggage,air-travel usa legal luggage hand-luggage,usa luggage travel legal hand air
405,need transit visa zurich way canada,indian student traveling canada zurich want know need apply transit visa waiting airport,schengen indian-citizens transit-visas zrh,schengen indian transit citizens visas zrh
406,clear customs heathrow traveling lisbon,go customs heathrow traveling dulles heathrow airline change united tap lisbon,customs-and-immigration international-travel lhr,international travel lhr immigration customs
407,museum south korea defectors refugees escaped north korea,watching history channel documentary youtube called people managed escape north korea visited south korea bunch times realize notice kind museum people plight googling helping much museum korea,south-korea museums north-korea,museums korea
408,knife carrying laws china,many countries restriction sorts knives carried public maximum length wikipedia long article topic section china clear lacks references implies laws strict knife carry laws mainland china illegal carry pocket knife swiss army knife traveller get trouble practice carrying clear question knives look weapons knives self-defence fighting switchblades large tactical knives think everyday pocket knife peel apples something legal europe something larger useful camping outdoors activities,legal china,china legal
409,refund claim delayed flight booked operated austrian,booked long-distance return flight lufthansa website consisting flight segments total operated austrian airlines delayed hours submit refund claim austrian responsible delay lufthansa booked issued tickets thanks,air-travel airlines delays refunds,travel delays airlines refunds air
410,get vaccinated country,planning trip asia ending date certain plan countries visit chance continue north europe depending things go event wanting travel country middle trip need special vaccination possible get called insurance company asked said help case emergencies vaccine emergency right though helpful anyone experience getting vaccinated carry vaccination record,health,health
411,way refund round trip flight due flight cancellation,traveled kingfisher airlines india flight round trip domestic flight cost usd made way way due financial problems kingfisher flights country got canceled think canceled take bus buy flight order return contacting kingfisher told get refund usd way got canceled understand calculation sounds enough trouble went endure 12-hour bus ride hell buy flight last minute different high price questions amount right standard way calculating refund anything reasoning possible,air-travel india cancellations kingfisher-airlines refunds,refunds kingfisher travel india airlines cancellations air
412,street photography ok/accepted uk portugal belgium germany,context informed germany take pictures houses subject true possible take pictures owners buildings chose opt systems google street maps general possible people take pictures houses related publication seems allowed owners complain taking image question uk portugal belgium germany street photography allowed and/or discouraged local/police/related links books cover europe please link seeing live america american law dictates public street/location shoot anything/anyone assuming reach lens trespassing shot exceptions exist causes problem government security place privacy expected bathroom,europe legal photography,europe photography legal
413,tsa open growler homebrew checked bag,purchased stainless steel growler oz container beer checking airplane flight tsa decides inspect bag open growler worried open leak co2 beer regular bottle beer closed opening growler closed question differs want know tsa open carbonated container alcohol checked bag wanting know ok bring carbonated container alcohol,alcohol,alcohol
414,indian flights go bangkok,travelling international flight first time staying new delhi like travel bangkok indian flights go bangkok get timings book need use agent,air-travel international-travel bangkok new-delhi,travel delhi air bangkok new international
415,travel cambridge,wondering citi busline cambridge busway e.g. b work ticket moreover like move currys pc world newmarket road ring fort road orchard park seen bus stop orchard park take busway b. front currys bus stop citi gets city center find right point change busway b citi seems front river lane stop front currys bus stop goes city center walk bit suggestion thanks,public-transport cambridge,cambridge public transport
416,short term schengen visa,going france january 20th january hence presuming visa valid january july days days period rule several questions getting days duration stay less days note people issued less days duration stay people issued days duration stay visa valid days planning go schengen countries following month possible prove itineraries following month,visas france france-schengen-visas visa-duration,schengen duration visas france
417,tipping denmark,usual rules tipping denmark interested hotels restaurants cafes taxi barber places idea people tip,tipping denmark,denmark tipping
418,valid indian visa expired passport,renew passport expired indian visa valid necessary get visa transferred renewed passport get customs india likely mumbai expired renewed passports,india passports,passports india
419,travelling vwp waiting work visa,waiting work p-1 want visit friends holiday start work enter esta/vwp holiday months waiting visa process return home australia collect visa start work,visas usa us-visa-waiver-program,waiver program visas visa usa
420,possible travel schengen visa contains typo,applied schengen visa wife received today typo name middle name spelt vinay written vijay travel typo visa apply correction travel next weekend afraid apply correction get corrected visa time,visas schengen germany,schengen visas germany
421,overlanding carnet de passage,lot contradictory information found internet carnet de passage linked wikipedia article instance says carnet de passage required burundi egypt kenya libya senegal vehicles older years southern african customs union bw/na/ls/sz/za sudan last year traveling friend drove year old car carnet de passage europe syria jordan egypt sudan ethiopia tell sure country kind problematic impossible enter carnet egypt buy local carnet valid egypt costed much cheaper travel carnet cash bond minimum europe higher money spend car including purchase temporary import taxes pay different borders knew advance bring car home overlanders met heard countries world kind problematic concerning carnet de passage egypt iran searching info left conclude possibility know sure show border hope best question like gather real-life hands-on experiences overlanding carnet de passage ultimate intent create trustworthy reference future overlanders hunt internet find contradictory information end buy carnet de passage necessary,overland carnet-de-passage,overland de carnet passage
422,store locker key hostel night,staying hostel dorms place valuables locker provided hostel lock key-padlock go take key fine sleeping night best practice storing key locker/padlock asking key cell-phone charge night serves alarm clock morning ideally solution valid deep sleeper times concerned someone take key open locker make valuables snoring worst case scenario mean wear boxers sewn-in secret pocket key end uncomfortable guess many place key stuff pillow move sleep head pillow work leave key cell pockets pants roll packet go sleep place wall side bed head problems guess due fool-proofness method know combination padlocks opened trial error easier deficits looking something outperforms practices given scenario course useful hints,tips-and-tricks security hostels backpacking,backpacking tips security tricks hostels
423,visit door hell,stumbled photo surfing net turkmenistan door hell wikipedia say much visit says visitors past years question roads show arranged group reservation,sightseeing landmarks central-asia turkmenistan,landmarks central turkmenistan asia sightseeing
424,type visa needed travelling india dublin heathrow,indian citizen irish visitor visa travel transiting london heathrow dublin stop h mins transiting common travel area ireland states website need type visitor visa statement uk gov website visitor transit visa you’ll need apply type visitor visa you’ll travelling republic ireland channel islands isle man type visa,visas ireland,visas ireland
425,baby travel grandparents india,baby months old travel grandparents india parents valid passport visa travelling virgin atlantic jfk new york heathrow london igi new delhi airline confirmed documents need travel parents side copy passport birth certificate baby consent letter etc,usa india international-travel children,international travel india children usa
426,dual australian/british citizen expired emergency aussie passport valid uk passport chances aussie visit,going miss brother wedding jan bought flight today aussie passport expired emergency passport begin born bred ten years hoping arrive uk passport show expired wedding invite return ticket weeks hope understand chances planning going aussie embassy monday see say want know chances entering uk passport,uk australia passports dual-nationality,passports nationality australia dual uk
427,considered center belgium,travelling rock werchter july night spend leuven suggest best find accommodation order city center activity/bars/pubs,belgium leuven,belgium leuven
428,kind travel sim card europe,interested mobile internet many countries possible european union wifi available,cellphones internet wifi,cellphones wifi internet
429,drinking water fountains birmingham airport uk,drinking water fountains birmingham international airport uk,airports tap-water,water tap airports
430,need transit visa heathrow airport traveling toronto delhi,indian citizen studying toronto need transit visa fly india heathrow airport london,visas transit indian-citizens lhr,transit visas lhr indian citizens
431,re-checking luggage connecting airports,leaving morocco next week wondering need re-check luggage connecting flights fly casablanca frankfurt frankfurt london lufthansa london fly newark time united airlines luggage put connecting flights responsible handling nervous casablanca frankfurt airports casablanca know easy check speak french little arabic frankfurt minutes flight london flight schedule things casablanca fine minutes less enough time go security board next flight,luggage airports transit,transit airports luggage
432,clerical error rounding differences uk visa application,submitted uk tourist visa application answered question total amount money trip answered moment edit application,visas uk,visas uk
433,time day visa expire,h1b visa expires mean valid midnight midnight,h1b-visas,h1b visas
434,istanbul bosphorus night,possible bosphorus strait ferry tour night hour layover year istanbul wondering things able tour bosphorus strait night,ferries istanbul,istanbul ferries
435,sending unaccompanied baggage japan usa,spending good amount time japan realize accumulated stuff carry flight allows check-in pieces free cost third piece like send full size suitcase japan atlanta ga catch care long takes long arrives safe sound catch going taking flight india nrt del w/ air india short trip days flight lufthansa del fra atl considering taking piece option believe current best bet use japan post surface mail service cost jpy take months cheaper options similar time frame option similar cost shorter time frame options involve lugging piece flights happy research told unlikely,usa japan shipping,japan shipping usa
436,flight usa europe march,planning first europe trip march found travel packages travelzoo destinations want believe plan vacation come much cheaper looking flight fare nyc iad paris nyc iad paris rome found round trip plan fly paris take bus/train hotel airport stay couple days take train rome stay switzerland venice florence day questions roundtrip people paris people pay public transportation paris airport easy find bus/train take main city hotels,air-travel usa europe paris,europe paris travel air
437,opaque flight site,response question read opaque flight sites booking know exact details booking made booking common form opaque bookings hotels exist flights sites,air-travel flight-search-engines opaque-provider,search flight engines travel air provider
438,verify flight booked error message skyscanner airtickets.com jetstar,found booked flight japan australia found flight skyscanner site redirected online travel agent airtickets.com flight jetstar odd thing end booking entering credit card details stuff bank anz asked complete ened getting error screen saying error occurred please try received emails saying transaction went numbers reservation number travel agency ticket number airline seems appropriate amount money become unavailable credit card according online banking specific transaction shown try verify flight airline asks number email address tells booked third party check third party try verify flight airtickets.com website takes page choose cancelling changing ticket enter number email address believe possibility cracks system verify flight truly booked going reverted automation system detected occurred confident less log https //checkin.jetstar.com address designed advance web checkin confirming flight jetstar system contain name flight details web checkin get message flight tokyo narita gold coast ready checked please come hours less prior flights departure time annoying jetstar lets log place checking bookings unexpected things happen due strange logic systems convinced permanent reverted error checking systems update friend airline industry got friend airline industry access appropriate tools look result six-digit alphanumeric ticket number confirmation e-ticket booked jetstar checked online banking saw transaction gone update flight shocking news turns possible ... posting answer think re-usable person similar situation,online-resources bookings travel-agents jetstar flight-search-engines,search flight engines travel bookings agents jetstar online resources
439,visualizing airlines fly airports,interested understanding airports airlines visualize spreadsheet ​ ​ examples shows southwest flies midway o'hare delta flies o'hare fly interested global map shows routes destinations particular airline interested using data passenger use-case spreadsheet preferable suspect data stored rdbms wondering clever way tease info http //openflights.org/,usa airports airlines,airports airlines usa
440,find quiet well-equipped places work cities travelling,business trips going meeting customer half day say flight till evening want find quiet place work laptop several hours tend head coffee shops advantage coffee following disadvantages quiet noisy coffee machines people talking etc feel moral obligation head keep buying coffee pastries etc. good waistline wallet good wifi hard find power socket assuming budget claiming temporary office space regus non-starter typical alternatives exist finding quiet comfortable free cheap working space city hours,budget work business-travel,travel work budget business
441,buy plane tickets get best rates,planning trip europe happen next summer looking purchasing plane tickets lot carriers offer late july/early august tickets buy ticket kayak.com feel wait bit get better deal question moment purchase tickets gives prices limit available flights much options choose,air-travel tickets planning price,tickets travel planning price air
442,best connection tokyo kyoto,travel tokyo weeks fastest expensive way reach kyoto tokyo reported shinkansen ticket form tokyo kyoto yen discovered japanican offers ways night star hotel single room yen november know economic way ticket exist know better connections,budget public-transport japan tokyo kyoto,tokyo kyoto budget japan public transport
443,buying airfare permits stopover,use specific situation considered example applied itinerary london -- -- rio janeiro -- london goal cheaply receiving epic answer learned best option find flight allows sort stopover referred free stopover continuing research found flight american airlines return ticket stopovers direction london -- dallas -- rio janeiro -- new york -- good price clear dallas new york stopovers ideal dallas hour drive austin question book itinerary allows extended stopover words like land dallas monday take flight rio following friday i.e days realise similar questions cover specific pragmatic issue book ticket buy ticket online change date dallas -- rio flight edit clarify flight found stopovers need dallas sure becoming redundant looking get termed free stopover able arrive dallas flight rio scheduled days later dates return ticket,air-travel budget stop-overs,overs travel stop budget air
444,take home made food luggage flight,domestic flight traveling first time making sure airport authority disallow carrying food make discard bin,air-travel luggage transportation,travel luggage transportation air
445,visa wfe need accompany valid b1 visa,want travel usa valid visa b1 time want take wife kind visa need apply,visas usa,visas usa
446,travelling citizen stopover brazil,citizen need brazilian transit visa travelling south-american country eg argentina stopover brazilian airports,visas us-citizens transit brazil stop-overs,brazil transit citizens stop visas overs
447,feasible great lakes circle tour lake michigan days car trip,planning trip lake michigan friday noon monday night starting northbrook il group taking corolla drive checked google maps closest route lake came miles hours seems bit aggressive cover days google search travel logs luck people done weeks taking lot breaks anyone done stretch days tiring,usa road-trips,road usa trips
448,traveling amsterdam-brussels klm ticket thalys ticket get stamped,re-posting question marked duplicate ask-and-answers key question where/when thalys ride ticket get stamped important anyone situation -- i.e. needing return boarding thalys needing ticket stamped ensure return itinerary cancelled original question traveling amsterdam-brussels klm ticket thalys ticket get stamped supposed duplicate skip train leg booked klm flight purchased ticket brussels amsterdam klm schiphol brussels-midi portion thalys return portion itinerary air france several days done good faith i.e. fare dodge need go brussels turns meeting amsterdam day arrive realise required board train brussels fulfil terms klm ticket need get ticket stamped thalys order board return flight want know takes place need return amsterdam need train way brussels get ticket stamped disembark rotterdam antwerp possibility getting klm thalys ticket issued train attend meeting heading brussels,tickets amsterdam brussels klm thalys,tickets amsterdam brussels thalys klm
449,transit visa frankfurt traveling separate tickets,south african national based kuwait travelling dublin frankfurt tickets issued online kuwait airways kwi-fra-kwi ticket aer lingus fra-dub-fra apply transit visa different tickets carrying hand bag check luggage,schengen transit south-african-citizens fra,fra schengen transit citizens african south
450,chinese visa valid renew passport,chinese visa valid renew passport work travel new passport show old passport valid visa entering china anyone done told get new visa seems logical frustrating chinese visa months old chinese visa issued nov heard rules changed china visa says good years passport expires,visas passports china us-citizens,passports visas china citizens
451,traveling taiwan mainland chinese visa requirements,girlfriend mainland china like travel china understand requirement chinese travel tour group want go taiwan way travel china taiwan tour group,visas taiwan chinese-citizens,taiwan visas chinese citizens
452,boeing dreamliner routes oceania,looked pre-orders many delayed active scheduled routes thought united meant route houston auckland seem gone expected china southern alleged guangzhou sydney appearing see route north america oceania australia new zealand uses part journey,airlines routes aircraft boeing oceania,routes aircraft oceania boeing airlines
453,dui checks lenient napa county,tourists go napa county drink water heard dui checks lenient napa county parts california true lenient fewer checks actual enforced blood alcohol content higher and/or penalties lower,driving alcohol northern-california,northern california alcohol driving
454,take overnight bag theatre cinema london,travelling early november overnight trip visiting odeon leicester square apollo victoria problems taking small overnight bag places nearest luggage drops,luggage london luggage-storage,storage london luggage
455,secure bicycle parking reading train station,secure bicycle parking reading train station secure mean staffed system ensures people take bicycle leave bicycle days page car cycle parking reading station makes mention alternatives bicycle outside city centre entrance underground short stay car park stay car park clear staffed secure parking locations fees reading station map contain information,uk trains safety bicycles,bicycles safety uk trains
456,netherlands visa port entry madrid,netherlands visa plans changed staying number days spain poe madrid problem poe maximum number days country got schengen visa,schengen tourist-visas,visas schengen tourist
457,know strikes affect public transport italy,tl dr resource warns upcoming strikes affect public transport italy forced change travel plans last-minute learning railway strike able cope issues little less last moment resource upcoming strikes affect trains buses flights local public transport italy announced advance bonus question trains affected way connections guaranteed,public-transport online-resources italy event-based-effects industrial-action,industrial italy public transport online action based event resources effects
458,protecting ears cold,friends traveling western europe winter come warm country wonder people protect ears cold walking considered using thermal earmuffs found european online shops seem reasonable assume people wear noticed people meant indoors use tourists question people wear earmuffs street use sort caps/hats/other accessories,europe local-customs winter,europe local winter customs
459,luggage transfer hong kong enroute canada,first time flyer confused transferring airline im manila going canada trip pattern manila hongkong montreal question need get baggage hongkong ang recheck hkia air canada desk purchased ticket departure arrivals planes stated help,luggage canada international-travel,canada international travel luggage
460,famous places visit,planning go day trip place south-east asia chinese new year holidays february budget sgd interesting places visit region chinese new year major festival part world prefer going famous places avoid higher ticket prices plans singapore jakarta jakarta yogyakarta train yogyakarta singapore tioman islands malaysia places see unknown adventerous places wonderful comfort problem edit unknown famous mean places popular option chinese holidays looking destinations waterfalls hiking places less crowded beaches etc,budget planning southeast-asia singapore,southeast planning budget asia singapore
461,use birth certificate identification bus texas,traveling laredo texas san antonio texas id birth certificate use travel bus texas,usa buses identity-cards texas,cards texas identity usa buses
462,airport transit visa lisbon,dominican republic passport holder flying brazil ghana lisbon tap portugal layover hours lisbon schengen visa type need airport transit transit lisbon,visas airports dominican-citizens,visas airports dominican citizens
463,cycle start day hit start next trip,traveled forth germany several times america staying rule ... big important question ... finish cycle start day end days start next trip starts let say done days weeks month ... get start anew cycle day next trip,visas schengen 90-180-visa-rules,schengen rules visas visa
464,hotel staff asks buffet food consequences bring food,last year went resort mexico towel boy asked please bring food buffet told eat breakfast allowed get food buffet felt weird trapped towel boy said weird see new towels went get food felt weird know react kind trouble get keep,mexico beaches resorts services,services resorts beaches mexico
465,stores tourist-heavy sites nepal usd,going nepal mountain trekking want bring hard get nepalese rupee home country tourist heavy sites stores accept usd get nepalese rupee local currency exchange centers,money exchange trekking nepal,money trekking nepal exchange
466,know japanese person means say yes,come situations japanese person extend help people worried asking something refuse reason wondering way ask help give opportunity decline feeling bad gauge response want tell worry particular experience cultures real problem many occasions japan japan led awkward situations realize going helpful suggested response,japan culture language-barrier japanese-language,japanese japan barrier language culture
467,japan buy unlocked phone,thinking buying smartphone tokyo physical store leave monday morning recommend showed models thanks,japan cellphones,japan cellphones
468,train gold coast sydney,searching alternative travel gold coast sydney flying train service gold coast sydney long station go train ticket able booked online,trains australia sydney gold-coast,coast australia gold sydney trains
469,sightseeing japan indian citizen holding f-1 visa,f-1 visa needs travel india hoping take layover japan require transit visa go sightseeing japan get usa get japanese airports consulate general require i-20 f-1 visa documentation required,transit japan indian-citizens f1-visas,f1 citizens transit visas indian japan
470,safe way carry money passport night,lisbon night buses metros hotel shared hostel passport money cash money traveling best way keep safe got reason money cash bank account,safety money hostels portugal,money safety portugal hostels
471,tsa confiscated liquids,know carry-on liquid excess prescribed size amounts oz take board things destroyed wonder charities reuse liquids shelters others need abused women shelter particular seeking cosmetics imagine many liquids repurposed mention knives lighters scissors procedure whereby charity request use items contact find local airport central office dc,usa hand-luggage tsa,tsa luggage usa hand
472,able enjoy direct transit exemption china,staying china student single entry visa used leaving china travelling countries return flight home country scheduled beijing able use hour direct transit visa exemption plan following arrive plane tianjin take train tianjin beijing fly beijing hours travel websites differ unclear mixing vehicles able find direct source eg government website,china transit-visas,transit visas china
473,morocco desert camel excursions available,heard desert excursions merzouga run months year february looked sites found anything confirms someone please verify reliable source update picked copy rough guide morocco states note longer multi-day trips stop operating february time gets hot contradicts karlson posted fact websites excursions make mention,morocco animal-riding deserts,morocco deserts animal riding
474,full days visit venice italy first time see,going sister healthy/active year old women first time early september know expect full days day arrive start plan days interested outdoor sights spending hours museums galleries make time staying train station cannaregio,italy sightseeing venice,venice italy sightseeing
475,long time transit schiphol collect bag,hours transit amsterdam schiphol plan visit centraal amsterdam book night room hotel main question able collect boarding second flight check amsterdam airport 2-3 hours second flight luggage collect amsterdam go final destination note bought ticket trip separate trips whole flight klm,transit amsterdam klm,amsterdam transit klm
476,change itinerary,schengen visa added country differs applied visa problem enter spending time country issued visa arriving leaving country issued visa received days trip tourism ... normal,schengen itineraries,itineraries schengen
477,mobile network indonesia best coverage,worried coverage traveling indonesia sumatra java bali lombok sulawesi komodo,indonesia communication mobile-operators phone-networks,mobile communication operators indonesia phone networks
478,exchange faroese crown bank note,live london like sell kr faroe islands banknote worth £20 way learn currency equivalent danish crowns none uk banks buy told money changer buy sell uk bank easy solution involve flying copenhagen ...,london exchange faroe-islands,islands faroe london exchange
479,trip belgium stay bruges ghent,4-6 days belgium august big city person coming london belgium staying day mannheim feel bruges ghent better choices avoid big city brussels seen multiple pieces advice indicates day-trip cities determine better stay,belgium ghent bruges,belgium ghent bruges
480,traveling developer south/central america,developer amsterdam employers pay developing experience great get see many many things need touch saving order live way essential access wifi least days week need worry belongings getting stolen anybody know following regions chile bolivia peru panama costa rica nicaragua experience hostels says wifi reliable possible like know safe bring laptop work country carry laptop traveling leave hostel tend book hostels secure locker rent appartment airbnb.com,internet south-america central-america wifi,wifi america central south internet
481,return ticket valid miss leg,want book ticket eurostar paris-london see book round-trip price lower curious book round-trip take return leg ticket cancelled sure ensure passenger booked train board cancel tickets work case,cancellations eurostar hidden-city-ticketing,city hidden ticketing cancellations eurostar
482,fast drive autobahn,american teenager knows speed limit autobahn understanding thing excessive speed free-for-all ignoring practical idiot drive faster handle speeds die polizei pulling bonus points translating km/hr miles/hr,legal driving germany,germany driving legal
483,deal change marital status application interview f-1 visa,prepared application asks marital status many information whereabouts indian citizen applying visa type f-1 applicant i.e. single attending interview married man take easy way submitting application got married unfortunately application marriage date inclined generating new application clogging web space wasting time question marital status relevant application date appointment date,visas usa indian-citizens f1-visas,f1 visas indian usa citizens
484,cheap travel california,coming sacramento/san francisco travel toronto week found round-trip flight tickets round-trip sfo boston much expensive suggestions fly much less cross border means first time travelling idea,budget international-travel toronto california,international travel california budget
485,re-enter uk months,kong citizen holding hk sar passport able visit uk day period stamp months leave months re-enter couple weeks months,visas uk hong-kong-citizens,hong visas citizens uk kong
486,get euro currency travelling india,travelling europe india days got currency euro indian bank wanted ask purchase euro indian rupee airport india leaving yes minimum euro amount need purchase forex got bank bank given sales thing need show airport forex,europe india money airports exchange,europe money airports india exchange
487,get 52-page united states passport vs. normal passport,preparing fly united states first time working getting passport application filled option page non-standard passport wondering makes sense get page passport vs normal passport sort good ballpark figure much international travel expect selecting page option,usa passports,passports usa
488,citizenship/place birth child born airplane,yesterday friend mine works chief flight attendant helped lady delivering baby flight manila philippines ocean know pregnant ladies month particular airlines allowed travel air managed on-board responsibility declare delivered professional way delivered hospital fine healthy question place birth baby origin country destination country flight related rules regarding delivery real photo friend baby helped deliver way permission photograph owner show update believe friend helped delivering baby flight baby mom healthy happy respects expert friend permission show photo,air-travel legal children,travel children legal air
489,reserve shinkansen tickets april,enough buy shinkansen tickets day departure buy several days advance want secure seat travelling hiroshima early april,trains japan shinkansen,japan shinkansen trains
490,arriving venice single american woman,traveling italy end april/beginning traveling europe traveled canada mexico excluded flight takes venice new york direct return rome new york direct stay nights venice nights florence nights rome read advice many different sites appears conflicting taking credit debit cards plan pick money atm get venice question expect going customs arriving venice best mode transportation get airport venice island piazzale roma area area central safe,planning italy solo-travel venice female-travellers,solo venice italy travellers travel planning female
491,speed limit non eu tourist germany,visiting friend lives germany rent car drive frankfurt milan friend eu citizen read different forums speed limit highway germany like ask questions speed limit highways germany speed limit non eu citizens drive cars germany speed limitations,germany driving,germany driving
492,car rental company ask flight information,today received email company rented car asking flight information need little paranoid think charge hidden tax fee information,car-rentals,car rentals
493,airlines required check brazilian visa american check-in,offered job brazil wanted make sure good place kids booked flight morning offer flight morning arrived airport direct flight brazil issued boarding passes took flight refused entry arrival airline flew think let board know americans allowed brazil w/o tourist visa mind paying cancellation fees feel cost flight refunded correct,visas air-travel us-citizens brazil check-in,brazil travel citizens air visas check
494,put kensington lock hand luggage,fly europe hand luggage bought kensington lock laptop take lock cause problems airports edinburgh bremen athens copenhagen stansted got confiscated security gate gdansk airport poland took hour convince guard intend harm anyone told numerous hand luggage restrictions right make subjective decision confiscate certain items question anyone hear similar incidents kensington locks specific rules guidlines refer defend right take lock kensington locks taken board restrictions differ globe,air-travel airport-security hand-luggage,luggage travel hand airport security air
495,mangalore junction station central station,takes travel mangalore junction station central railway station distance modes transport available price local trains available times,india transportation,transportation india
